loan_id,customer_id,loan_type,principal_aud,outstanding_balance,interest_rate_pct,term_months,start_date,end_date,monthly_repayment,status,lender,lvr_pct
LOAN0024,CUST0075,HECS,56310.4,22534.81,8.29,120,2021-06-06,2031-04-15,495.94,Closed,Bendigo Bank,60.6
LOAN0025,CUST0199,Car Loan,640988.31,141964.88,11.57,300,2020-10-18,2045-06-09,1930.65,Defaulted,NAB,56.2
LOAN0026,CUST0169,Personal Loan,329359.27,288530.97,9.83,36,2022-04-12,2025-03-27,8817.46,Defaulted,Commonwealth Bank,78.9
LOAN0027,CUST0101,Business Loan,159489.09,17186.63,3.72,36,2019-12-12,2022-11-26,4149.69,Arrears,ANZ,76.8
LOAN0028,CUST0077,Personal Loan,499461.22,314702.6,5.4,36,2021-07-04,2024-06-18,12986.77,Active,Commonwealth Bank,83.8
LOAN0029,CUST0044,Business Loan,224887.07,40135.72,9.05,36,2023-06-12,2026-05-27,5840.82,Active,Commonwealth Bank,65.4
LOAN0030,CUST0168,Car Loan,157365.64,21367.38,7.21,300,2021-05-05,2045-12-25,472.12,Defaulted,Commonwealth Bank,92.2
LOAN0031,CUST0093,Car Loan,170674.83,145476.14,9.94,60,2021-05-31,2026-05-05,2570.8,Closed,Macquarie Bank,25.6
LOAN0032,CUST0189,Personal Loan,519554.13,225310.88,4.81,24,2023-04-07,2025-03-27,22164.12,Closed,ANZ,42.3
LOAN0033,CUST0119,Personal Loan,854925.75,379663.42,2.57,24,2019-07-11,2021-06-30,32392.97,Active,Macquarie Bank,30.8
LOAN0034,CUST0125,Business Loan,291731.86,134257.9,13.12,12,2022-09-11,2023-09-06,25518.57,Active,NAB,93.2
LOAN0035,CUST0034,HECS,200457.83,148720.75,6.57,120,2021-03-11,2031-01-18,1508.35,Defaulted,ANZ,54.7
LOAN0036,CUST0052,Car Loan,85667.89,59379.1,12.36,300,2020-07-09,2045-02-28,295.46,Closed,ANZ,79.0
LOAN0037,CUST0030,Home Loan,258387.29,250247.53,5.95,120,2019-01-26,2028-12-04,2342.15,Active,NAB,46.2
LOAN0038,CUST0074,Car Loan,416491.19,217775.55,12.79,60,2019-08-27,2024-07-31,6973.95,Arrears,NAB,87.1
LOAN0039,CUST0193,Personal Loan,773494.49,627331.26,9.45,300,2019-03-06,2043-10-26,2413.33,Active,Westpac,86.0
LOAN0040,CUST0018,Home Loan,773221.46,433342.19,7.58,240,2021-08-27,2041-05-14,3542.65,Arrears,Macquarie Bank,66.2
LOAN0041,CUST0049,Home Loan,629113.23,562417.37,5.8,120,2019-12-20,2029-10-28,4948.18,Defaulted,Westpac,77.9
LOAN0042,CUST0020,Business Loan,155555.35,63904.53,11.48,360,2023-04-24,2052-11-17,457.69,Arrears,Macquarie Bank,39.2
LOAN0043,CUST0146,Business Loan,153129.48,121805.28,6.75,12,2023-04-08,2024-04-02,12059.95,Closed,NAB,62.0
LOAN0044,CUST0011,HECS,159796.16,78377.8,10.62,360,2020-07-29,2050-02-22,405.1,Active,Commonwealth Bank,64.7
LOAN0045,CUST0059,Business Loan,565110.2,301507.72,13.35,240,2021-10-22,2041-07-09,2201.28,Arrears,Bendigo Bank,40.9
LOAN0046,CUST0083,Home Loan,752530.02,469124.16,5.03,12,2023-05-17,2024-05-11,63132.63,Defaulted,Bendigo Bank,52.1
LOAN0047,CUST0079,Business Loan,664650.09,199339.25,8.31,300,2021-09-27,2046-05-19,2395.63,Defaulted,Westpac,35.9
LOAN0048,CUST0014,Car Loan,78707.18,67602.95,13.57,300,2021-03-22,2045-11-11,254.56,Arrears,Westpac,87.2
LOAN0049,CUST0120,Car Loan,680741.43,407156.5,11.81,300,2019-09-27,2044-05-18,2480.02,Active,Westpac,69.4
LOAN0050,CUST0178,HECS,735746.4,451842.49,13.29,240,2019-06-28,2039-03-15,2850.5,Arrears,Bendigo Bank,32.5
LOAN0051,CUST0029,Car Loan,304396.74,208460.28,12.13,120,2019-01-23,2028-12-01,2478.33,Defaulted,ANZ,47.3
LOAN0052,CUST0193,Home Loan,34773.25,10609.47,5.35,300,2023-12-12,2048-08-02,110.51,Arrears,Macquarie Bank,58.2
LOAN0053,CUST0055,Car Loan,437327.05,305816.12,2.76,300,2019-02-25,2043-10-17,1429.93,Active,Macquarie Bank,90.0
LOAN0054,CUST0047,Car Loan,381463.58,350985.44,9.89,36,2023-02-14,2026-01-29,11181.34,Active,Macquarie Bank,53.9
LOAN0055,CUST0166,HECS,299541.66,234821.12,10.28,300,2021-11-04,2046-06-26,1060.05,Active,NAB,55.3
LOAN0056,CUST0053,Personal Loan,187893.55,136549.39,10.48,300,2022-03-18,2046-11-07,672.47,Arrears,NAB,21.8
LOAN0057,CUST0081,Business Loan,764103.67,469084.41,4.1,240,2023-06-24,2043-03-11,2940.49,Arrears,Commonwealth Bank,39.7
LOAN0058,CUST0144,Car Loan,492833.21,352136.52,7.59,24,2021-05-15,2023-05-05,20153.33,Closed,ANZ,82.9
LOAN0059,CUST0196,HECS,687890.39,645130.64,10.28,300,2019-05-23,2044-01-12,2467.08,Arrears,ANZ,90.8
LOAN0060,CUST0149,HECS,691230.23,591260.96,3.42,36,2022-04-05,2025-03-20,21102.48,Closed,NAB,29.0
LOAN0061,CUST0040,Personal Loan,869369.08,691455.75,5.18,240,2021-05-07,2041-01-22,3325.65,Active,Macquarie Bank,51.7
LOAN0062,CUST0079,HECS,158596.03,57529.61,2.85,120,2022-06-04,2032-04-12,1379.25,Closed,Commonwealth Bank,70.6
LOAN0063,CUST0061,HECS,619943.65,448278.82,3.8,120,2020-10-31,2030-09-09,5020.3,Arrears,NAB,22.0
LOAN0064,CUST0098,Business Loan,61840.91,51796.3,7.55,36,2022-05-11,2025-04-25,1546.71,Defaulted,Macquarie Bank,59.8
LOAN0065,CUST0070,Personal Loan,594526.61,493784.52,10.52,120,2020-04-20,2030-02-27,5234.62,Active,NAB,74.4
LOAN0066,CUST0029,Home Loan,454288.16,203397.6,6.83,360,2021-04-28,2050-11-22,1297.47,Closed,Bendigo Bank,28.5
LOAN0067,CUST0166,Business Loan,97145.75,86871.22,9.18,12,2021-12-16,2022-12-11,8456.07,Closed,Bendigo Bank,58.3
LOAN0068,CUST0085,Home Loan,845836.74,171699.68,3.13,60,2019-01-04,2023-12-09,14376.62,Closed,NAB,67.3
LOAN0069,CUST0011,HECS,187210.44,124718.38,2.86,12,2021-07-02,2022-06-27,16039.63,Active,NAB,32.0
LOAN0070,CUST0039,Car Loan,542571.26,322960.66,9.99,36,2021-12-18,2024-12-02,15886.47,Defaulted,Macquarie Bank,44.5
LOAN0071,CUST0008,HECS,414590.73,230876.51,9.16,12,2022-09-14,2023-09-09,33435.91,Closed,Bendigo Bank,68.5
LOAN0072,CUST0162,HECS,72359.46,7378.06,13.28,24,2020-07-18,2022-07-08,3126.79,Arrears,Commonwealth Bank,32.9
LOAN0073,CUST0121,HECS,123526.37,16031.78,4.03,300,2021-04-11,2045-12-01,371.96,Active,NAB,24.3
LOAN0074,CUST0194,Car Loan,894867.53,246228.62,12.87,36,2023-07-06,2026-06-20,23686.96,Defaulted,ANZ,44.5
LOAN0075,CUST0153,Business Loan,579522.9,578646.57,10.33,36,2021-02-20,2024-02-05,17305.34,Active,Commonwealth Bank,33.4
LOAN0076,CUST0189,Personal Loan,730403.28,269103.16,10.06,120,2023-03-09,2033-01-15,5933.23,Arrears,Macquarie Bank,21.4
LOAN0077,CUST0024,Personal Loan,415383.77,44886.14,8.84,60,2019-11-16,2024-10-20,6599.42,Arrears,NAB,81.7
LOAN0078,CUST0181,Car Loan,550990.16,55480.44,13.06,60,2019-05-01,2024-04-04,8804.17,Arrears,Westpac,30.0
LOAN0079,CUST0196,Business Loan,42615.63,12787.9,11.29,120,2023-12-31,2033-11-08,337.79,Active,Bendigo Bank,60.0
LOAN0080,CUST0113,Business Loan,702101.59,499687.6,13.67,240,2023-06-06,2043-02-21,3144.07,Defaulted,Macquarie Bank,61.0
LOAN0081,CUST0031,Personal Loan,898279.44,508420.49,5.68,360,2020-12-22,2050-07-18,2601.17,Arrears,ANZ,94.9
LOAN0082,CUST0033,Car Loan,39404.13,32552.44,9.45,300,2020-04-17,2044-12-07,134.63,Arrears,Westpac,63.9
LOAN0083,CUST0034,Car Loan,512418.12,497563.92,12.34,120,2021-02-02,2030-12-12,4412.41,Closed,ANZ,76.1
LOAN0084,CUST0066,Car Loan,170144.41,103330.06,3.98,300,2020-01-16,2044-09-06,553.97,Arrears,Commonwealth Bank,92.5
LOAN0085,CUST0146,Business Loan,163344.04,71750.47,13.83,300,2022-04-09,2046-11-29,588.98,Closed,Macquarie Bank,88.6
LOAN0086,CUST0155,HECS,197725.94,150533.4,12.45,60,2023-06-09,2028-05-13,3229.4,Arrears,Bendigo Bank,57.2
LOAN0087,CUST0157,Car Loan,825146.26,91691.55,3.9,240,2020-01-19,2039-10-06,3269.51,Closed,Commonwealth Bank,59.2
LOAN0088,CUST0065,Personal Loan,90602.85,58240.44,11.08,60,2022-05-30,2027-05-04,1653.82,Active,ANZ,94.3
LOAN0089,CUST0104,Home Loan,8955.03,3229.48,3.07,12,2019-01-21,2020-01-16,817.73,Arrears,NAB,31.0
LOAN0090,CUST0158,Business Loan,861142.7,660558.55,10.11,24,2023-01-23,2025-01-12,38413.47,Defaulted,Bendigo Bank,90.2
LOAN0091,CUST0019,Personal Loan,110796.85,62592.2,9.11,120,2020-03-21,2030-01-28,890.33,Arrears,ANZ,22.5
LOAN0092,CUST0157,Car Loan,581762.5,213745.6,11.04,300,2022-01-11,2046-09-02,2004.03,Closed,Westpac,88.1
LOAN0093,CUST0085,Personal Loan,54772.03,16989.13,12.06,36,2022-06-25,2025-06-09,1378.73,Arrears,NAB,52.1
LOAN0094,CUST0027,HECS,505035.89,232625.03,13.03,120,2022-06-28,2032-05-06,4266.19,Active,Bendigo Bank,94.1
LOAN0095,CUST0095,Home Loan,792015.34,416974.11,6.69,36,2021-04-03,2024-03-18,22563.41,Active,NAB,66.2
LOAN0096,CUST0105,Car Loan,516824.5,122819.04,11.29,300,2019-07-25,2044-03-15,1865.86,Defaulted,Commonwealth Bank,43.2
LOAN0097,CUST0079,Personal Loan,112861.8,43585.97,13.59,120,2021-10-02,2031-08-11,969.98,Arrears,Bendigo Bank,66.4
LOAN0098,CUST0104,Car Loan,51387.67,28072.12,9.89,12,2019-07-18,2020-07-12,3916.83,Defaulted,Commonwealth Bank,36.9
LOAN0099,CUST0023,Personal Loan,869568.37,630879.52,12.08,36,2023-04-01,2026-03-16,25334.44,Active,Macquarie Bank,34.9
LOAN0100,CUST0124,Personal Loan,416361.55,153405.49,4.61,60,2020-02-01,2025-01-05,6653.35,Defaulted,Westpac,83.5
LOAN0101,CUST0074,Car Loan,702859.0,343084.26,7.61,12,2022-01-31,2023-01-26,63945.75,Arrears,ANZ,78.1
LOAN0102,CUST0081,Car Loan,624186.26,294731.37,3.38,12,2019-05-15,2020-05-09,54689.7,Active,NAB,67.2
LOAN0103,CUST0177,Personal Loan,85396.44,82400.07,4.41,240,2022-02-15,2041-11-02,358.54,Defaulted,Commonwealth Bank,40.1
LOAN0104,CUST0099,Home Loan,38150.27,22985.92,6.57,120,2020-01-30,2029-12-08,286.22,Defaulted,Macquarie Bank,75.6
LOAN0105,CUST0187,Car Loan,292260.05,97765.32,10.76,24,2023-02-17,2025-02-06,12467.7,Defaulted,ANZ,65.2
LOAN0106,CUST0030,Car Loan,583718.15,59786.49,5.78,12,2021-03-26,2022-03-21,49497.67,Active,Bendigo Bank,43.4
LOAN0107,CUST0080,Personal Loan,886317.28,570598.91,11.57,120,2019-08-29,2029-07-07,7453.83,Closed,Commonwealth Bank,80.3
LOAN0108,CUST0007,Car Loan,531766.88,421186.43,11.32,60,2022-10-26,2027-09-30,9285.39,Active,ANZ,58.5
LOAN0109,CUST0140,Business Loan,617620.97,411031.59,10.47,300,2022-02-09,2046-10-01,1861.53,Arrears,Macquarie Bank,60.5
LOAN0110,CUST0039,Business Loan,145915.82,26482.08,12.86,240,2021-03-13,2040-11-28,581.53,Arrears,Bendigo Bank,65.0
LOAN0111,CUST0053,Car Loan,311578.49,68215.76,3.14,60,2023-01-19,2027-12-24,4870.88,Arrears,Westpac,39.8
LOAN0112,CUST0006,Car Loan,687067.97,370084.91,8.31,12,2021-10-27,2022-10-22,62579.92,Arrears,Commonwealth Bank,64.7
LOAN0113,CUST0011,HECS,541539.26,99313.31,12.15,24,2022-10-23,2024-10-12,24018.73,Defaulted,ANZ,25.9
LOAN0114,CUST0052,Car Loan,730627.4,138990.16,6.36,36,2022-10-26,2025-10-10,19384.67,Defaulted,Macquarie Bank,23.5
LOAN0115,CUST0042,Home Loan,220667.1,44198.42,10.05,300,2023-06-28,2048-02-17,666.76,Arrears,Bendigo Bank,70.4
LOAN0116,CUST0041,HECS,285617.81,261193.33,10.3,12,2019-10-28,2020-10-22,23687.47,Defaulted,Westpac,73.3
LOAN0117,CUST0076,Personal Loan,777871.17,720838.03,12.8,12,2021-09-10,2022-09-05,59376.57,Active,Westpac,49.3
LOAN0118,CUST0019,HECS,657629.23,226927.71,12.58,240,2023-08-13,2043-04-30,2732.4,Arrears,NAB,29.9
LOAN0119,CUST0105,HECS,297411.59,130365.68,2.53,60,2020-01-04,2024-12-08,4691.26,Active,ANZ,76.2
LOAN0120,CUST0019,Business Loan,19717.27,10598.93,8.89,120,2023-02-24,2033-01-02,162.62,Closed,NAB,58.8
LOAN0121,CUST0013,Home Loan,357066.8,163038.12,5.25,12,2020-11-08,2021-11-03,31714.88,Defaulted,Commonwealth Bank,29.7
LOAN0122,CUST0136,Car Loan,584046.52,198215.87,2.59,24,2023-12-22,2025-12-11,24554.38,Active,Commonwealth Bank,84.5
LOAN0123,CUST0151,Home Loan,889650.77,733912.67,5.23,24,2019-03-31,2021-03-20,33575.51,Defaulted,ANZ,21.7
LOAN0124,CUST0068,Car Loan,621260.81,485377.72,9.04,36,2020-11-25,2023-11-10,17934.12,Defaulted,ANZ,84.3
LOAN0125,CUST0148,Home Loan,872412.35,126137.82,10.74,36,2022-08-22,2025-08-06,23896.26,Closed,NAB,46.2
LOAN0126,CUST0127,Business Loan,235721.67,231793.18,9.29,240,2020-08-27,2040-05-14,910.88,Defaulted,Westpac,76.0
LOAN0127,CUST0155,Personal Loan,833527.34,468788.48,3.93,120,2020-07-30,2030-06-08,6274.09,Active,Bendigo Bank,61.1
LOAN0128,CUST0100,Business Loan,478806.31,429816.53,12.22,240,2020-12-13,2040-08-30,2099.6,Arrears,NAB,31.8
LOAN0129,CUST0043,Car Loan,138720.21,90844.8,3.1,240,2022-05-07,2042-01-22,601.05,Arrears,Commonwealth Bank,37.6
LOAN0130,CUST0105,Business Loan,757119.03,444871.55,2.85,300,2019-07-30,2044-03-20,2276.65,Arrears,Bendigo Bank,31.6
LOAN0131,CUST0108,Business Loan,122318.24,100276.41,3.22,12,2021-04-11,2022-04-06,10201.28,Active,Commonwealth Bank,48.1
LOAN0132,CUST0051,Personal Loan,65727.13,46761.68,9.8,12,2022-10-26,2023-10-21,5028.31,Arrears,Commonwealth Bank,43.7
LOAN0133,CUST0014,Business Loan,517013.04,111702.58,5.44,360,2020-12-11,2050-07-07,1314.09,Closed,Macquarie Bank,44.5
LOAN0134,CUST0114,Car Loan,55669.89,54098.12,10.92,120,2022-03-07,2032-01-14,451.42,Active,Bendigo Bank,80.9
LOAN0135,CUST0178,Car Loan,290789.53,61297.68,13.24,12,2021-08-15,2022-08-10,22196.7,Arrears,NAB,92.3
LOAN0136,CUST0077,Car Loan,524759.12,208375.52,12.68,300,2023-10-02,2048-05-23,1767.99,Closed,Westpac,73.5
LOAN0137,CUST0127,Home Loan,359409.33,157000.7,7.89,360,2020-06-24,2050-01-18,1052.67,Closed,Bendigo Bank,72.1
LOAN0138,CUST0122,Personal Loan,490144.49,426418.26,11.77,24,2023-06-30,2025-06-19,18789.94,Closed,ANZ,21.9
LOAN0139,CUST0093,Personal Loan,221496.48,191656.03,4.15,360,2021-06-04,2050-12-29,640.67,Arrears,ANZ,79.0
LOAN0140,CUST0035,Home Loan,263740.76,70534.56,8.95,300,2020-03-06,2044-10-26,814.67,Closed,ANZ,81.2
LOAN0141,CUST0118,Car Loan,236167.14,124237.61,5.22,36,2021-02-09,2024-01-25,7128.38,Closed,ANZ,74.1
LOAN0142,CUST0087,Personal Loan,46827.02,33594.15,2.75,36,2022-08-27,2025-08-11,1195.11,Active,Commonwealth Bank,51.7
LOAN0143,CUST0049,Business Loan,467057.79,104840.51,13.56,36,2020-04-11,2023-03-27,12959.93,Active,Macquarie Bank,64.3
LOAN0144,CUST0039,Car Loan,720727.4,287036.52,6.19,12,2023-12-27,2024-12-21,55064.82,Defaulted,Bendigo Bank,45.7
LOAN0145,CUST0100,HECS,294628.67,212354.66,9.66,360,2019-04-28,2048-11-21,769.59,Closed,Commonwealth Bank,22.2
LOAN0146,CUST0184,Personal Loan,710799.17,207624.21,4.28,300,2023-09-01,2048-04-22,2498.91,Arrears,Bendigo Bank,74.4
LOAN0147,CUST0039,Car Loan,407213.28,120742.62,13.3,360,2019-09-20,2049-04-15,1111.73,Active,NAB,50.1
LOAN0148,CUST0077,Car Loan,30308.05,3124.88,8.92,360,2023-02-04,2052-08-30,76.65,Arrears,Commonwealth Bank,45.1
LOAN0149,CUST0081,Business Loan,126068.48,22230.02,11.98,120,2019-12-14,2029-10-22,1080.05,Defaulted,Bendigo Bank,24.0
LOAN0150,CUST0127,Car Loan,609480.77,320537.24,11.22,12,2020-07-07,2021-07-02,50854.46,Arrears,NAB,51.5
