transaction_id,account_id,customer_id,transaction_date,transaction_type,debit_credit,amount_aud,merchant_category,channel,description,is_flagged,settlement_date
TXN000047,ACC00015,CUST0189,2022-12-26,Refund,Credit,2911.04,Entertainment,ATM,Refund - Retail,N,2022-12-28
TXN000048,ACC00070,CUST0147,2024-09-13,ATM Withdrawal,Debit,2331.64,Entertainment,ATM,ATM Withdrawal - Travel,N,2024-09-13
TXN000049,ACC00267,CUST0015,2023-09-06,PayID,Credit,8474.57,Entertainment,EFTPOS,PayID - Groceries,N,2023-09-08
TXN000050,ACC00170,CUST0029,2023-12-26,Transfer,Credit,994.13,Healthcare,Mobile App,Transfer - Entertainment,N,2023-12-28
TXN000051,ACC00274,CUST0049,2022-12-06,ATM Withdrawal,Debit,8565.15,Restaurants,EFTPOS,ATM Withdrawal - Fuel,N,2022-12-07
TXN000052,ACC00162,CUST0164,2022-03-06,Purchase,Debit,4073.19,Retail,Internet Banking,Purchase - Entertainment,N,2022-03-07
TXN000053,ACC00111,CUST0026,2024-12-11,Purchase,Debit,4535.47,Entertainment,Mobile App,Purchase - Utilities,N,2024-12-12
TXN000054,ACC00260,CUST0057,2022-02-21,BPAY,Debit,11985.58,Restaurants,Internet Banking,BPAY - Entertainment,N,2022-02-23
TXN000055,ACC00269,CUST0160,2023-09-28,Transfer,Credit,11633.22,Fuel,EFTPOS,Transfer - Restaurants,N,2023-09-28
TXN000056,ACC00236,CUST0011,2024-03-04,BPAY,Debit,10705.45,Fuel,Mobile App,BPAY - Healthcare,N,2024-03-06
TXN000057,ACC00305,CUST0021,2022-06-28,Purchase,Debit,5000.01,Fuel,EFTPOS,Purchase - Healthcare,Y,2022-06-29
TXN000058,ACC00328,CUST0011,2023-03-06,Transfer,Credit,4813.88,Healthcare,Branch,Transfer - Entertainment,N,2023-03-08
TXN000059,ACC00061,CUST0145,2023-07-13,Direct Debit,Debit,2240.66,Fuel,Mobile App,Direct Debit - Fuel,N,2023-07-14
TXN000060,ACC00282,CUST0050,2023-10-15,PayID,Credit,4066.51,Healthcare,EFTPOS,PayID - Utilities,N,2023-10-16
TXN000061,ACC00314,CUST0075,2023-11-25,Purchase,Debit,8109.12,Restaurants,Mobile App,Purchase - Retail,N,2023-11-25
TXN000062,ACC00055,CUST0196,2024-02-25,ATM Withdrawal,Debit,807.94,Travel,Internet Banking,ATM Withdrawal - Retail,N,2024-02-26
TXN000063,ACC00171,CUST0074,2023-02-10,PayID,Credit,10693.77,Fuel,ATM,PayID - Restaurants,N,2023-02-12
TXN000064,ACC00240,CUST0175,2022-07-19,PayID,Credit,6834.31,Retail,ATM,PayID - Utilities,N,2022-07-19
TXN000065,ACC00316,CUST0073,2023-06-13,ATM Withdrawal,Debit,13693.01,Restaurants,Branch,ATM Withdrawal - Entertainment,N,2023-06-13
TXN000066,ACC00034,CUST0015,2024-08-31,ATM Withdrawal,Debit,1694.19,Retail,Internet Banking,ATM Withdrawal - Healthcare,N,2024-09-02
TXN000067,ACC00295,CUST0176,2022-09-18,ATM Withdrawal,Debit,7619.74,Fuel,Branch,ATM Withdrawal - Fuel,N,2022-09-20
TXN000068,ACC00237,CUST0019,2024-03-31,Transfer,Credit,8858.45,Utilities,EFTPOS,Transfer - Restaurants,N,2024-04-01
TXN000069,ACC00034,CUST0015,2023-11-29,PayID,Credit,3124.36,Travel,ATM,PayID - Entertainment,N,2023-11-29
TXN000070,ACC00089,CUST0173,2022-06-09,PayID,Credit,11090.77,Retail,Mobile App,PayID - Retail,N,2022-06-09
TXN000071,ACC00228,CUST0195,2022-12-27,ATM Withdrawal,Debit,4621.23,Fuel,EFTPOS,ATM Withdrawal - Fuel,N,2022-12-29
TXN000072,ACC00195,CUST0174,2023-11-02,PayID,Credit,7414.93,Groceries,Mobile App,PayID - Utilities,N,2023-11-04
TXN000073,ACC00326,CUST0195,2022-01-01,PayID,Credit,11356.41,Restaurants,ATM,PayID - Healthcare,N,2022-01-03
TXN000074,ACC00229,CUST0109,2023-02-05,Direct Debit,Debit,3085.72,Healthcare,EFTPOS,Direct Debit - Healthcare,N,2023-02-06
TXN000075,ACC00177,CUST0093,2022-07-02,BPAY,Debit,8741.32,Travel,Internet Banking,BPAY - Healthcare,N,2022-07-04
TXN000076,ACC00028,CUST0048,2022-01-02,Refund,Credit,10550.61,Entertainment,Mobile App,Refund - Healthcare,N,2022-01-02
TXN000077,ACC00222,CUST0028,2024-03-18,PayID,Credit,9378.59,Travel,ATM,PayID - Travel,N,2024-03-18
TXN000078,ACC00340,CUST0096,2022-12-22,Transfer,Credit,7123.6,Travel,Branch,Transfer - Travel,N,2022-12-24
TXN000079,ACC00065,CUST0199,2022-10-03,PayID,Credit,175.03,Groceries,Internet Banking,PayID - Retail,N,2022-10-03
TXN000080,ACC00044,CUST0161,2022-10-09,ATM Withdrawal,Debit,9634.0,Retail,EFTPOS,ATM Withdrawal - Travel,N,2022-10-10
TXN000081,ACC00261,CUST0117,2024-05-18,ATM Withdrawal,Debit,8281.2,Travel,Branch,ATM Withdrawal - Utilities,N,2024-05-20
TXN000082,ACC00004,CUST0128,2024-10-17,Transfer,Credit,12702.21,Healthcare,ATM,Transfer - Entertainment,Y,2024-10-17
TXN000083,ACC00291,CUST0189,2024-09-16,Purchase,Debit,10573.53,Retail,Mobile App,Purchase - Restaurants,N,2024-09-18
TXN000084,ACC00144,CUST0123,2024-08-10,BPAY,Debit,7754.73,Fuel,Internet Banking,BPAY - Retail,N,2024-08-12
TXN000085,ACC00343,CUST0142,2022-06-09,BPAY,Debit,10261.43,Healthcare,EFTPOS,BPAY - Groceries,N,2022-06-11
TXN000086,ACC00006,CUST0068,2024-08-18,ATM Withdrawal,Debit,6811.07,Entertainment,ATM,ATM Withdrawal - Entertainment,N,2024-08-19
TXN000087,ACC00149,CUST0006,2022-12-10,BPAY,Debit,530.86,Healthcare,EFTPOS,BPAY - Healthcare,N,2022-12-11
TXN000088,ACC00297,CUST0094,2022-12-13,PayID,Credit,8593.33,Healthcare,EFTPOS,PayID - Groceries,N,2022-12-13
TXN000089,ACC00065,CUST0199,2024-11-01,Refund,Credit,1153.86,Healthcare,Branch,Refund - Restaurants,N,2024-11-02
TXN000090,ACC00132,CUST0130,2022-01-30,BPAY,Debit,11121.7,Restaurants,EFTPOS,BPAY - Restaurants,N,2022-01-31
TXN000091,ACC00090,CUST0096,2023-06-20,Transfer,Credit,11738.13,Retail,Internet Banking,Transfer - Groceries,N,2023-06-20
TXN000092,ACC00075,CUST0084,2022-11-12,Refund,Credit,12564.38,Travel,ATM,Refund - Utilities,N,2022-11-14
TXN000093,ACC00327,CUST0166,2022-12-09,PayID,Credit,3163.64,Entertainment,Mobile App,PayID - Healthcare,N,2022-12-09
TXN000094,ACC00027,CUST0076,2022-12-10,ATM Withdrawal,Debit,6960.76,Healthcare,ATM,ATM Withdrawal - Utilities,N,2022-12-12
TXN000095,ACC00200,CUST0107,2024-08-29,BPAY,Debit,3940.11,Travel,Mobile App,BPAY - Healthcare,N,2024-08-30
TXN000096,ACC00196,CUST0043,2023-10-09,PayID,Credit,14426.48,Groceries,Mobile App,PayID - Entertainment,N,2023-10-10
TXN000097,ACC00313,CUST0134,2023-07-13,Direct Debit,Debit,5025.18,Fuel,Branch,Direct Debit - Travel,N,2023-07-15
TXN000098,ACC00124,CUST0012,2023-02-04,PayID,Credit,7799.76,Restaurants,Branch,PayID - Groceries,N,2023-02-04
TXN000099,ACC00007,CUST0099,2024-04-22,Purchase,Debit,1466.38,Retail,Branch,Purchase - Utilities,N,2024-04-23
TXN000100,ACC00099,CUST0035,2022-03-11,Purchase,Debit,356.48,Groceries,EFTPOS,Purchase - Utilities,N,2022-03-13
TXN000101,ACC00063,CUST0020,2022-09-03,BPAY,Debit,1296.71,Restaurants,ATM,BPAY - Restaurants,N,2022-09-05
TXN000102,ACC00095,CUST0195,2023-06-03,PayID,Credit,4419.23,Fuel,ATM,PayID - Healthcare,N,2023-06-05
TXN000103,ACC00342,CUST0133,2023-10-25,Refund,Credit,3860.79,Fuel,Branch,Refund - Groceries,N,2023-10-26
TXN000104,ACC00031,CUST0107,2023-06-13,Direct Debit,Debit,14334.13,Restaurants,ATM,Direct Debit - Fuel,N,2023-06-13
TXN000105,ACC00313,CUST0134,2024-03-15,ATM Withdrawal,Debit,2677.45,Fuel,Internet Banking,ATM Withdrawal - Travel,N,2024-03-17
TXN000106,ACC00055,CUST0196,2024-06-23,Purchase,Debit,10731.29,Groceries,Mobile App,Purchase - Fuel,N,2024-06-24
TXN000107,ACC00229,CUST0109,2022-02-08,Transfer,Credit,13447.79,Groceries,Mobile App,Transfer - Travel,N,2022-02-10
TXN000108,ACC00169,CUST0023,2024-03-12,BPAY,Debit,8620.03,Retail,ATM,BPAY - Travel,N,2024-03-14
TXN000109,ACC00036,CUST0139,2023-04-08,PayID,Credit,50.61,Retail,Mobile App,PayID - Entertainment,N,2023-04-09
TXN000110,ACC00206,CUST0093,2022-04-24,PayID,Credit,9484.46,Fuel,Branch,PayID - Entertainment,N,2022-04-25
TXN000111,ACC00149,CUST0006,2023-02-20,Purchase,Debit,2650.1,Travel,Internet Banking,Purchase - Healthcare,N,2023-02-20
TXN000112,ACC00323,CUST0065,2024-01-06,PayID,Credit,7298.07,Retail,Internet Banking,PayID - Restaurants,Y,2024-01-06
TXN000113,ACC00304,CUST0162,2023-05-04,Purchase,Debit,7339.0,Healthcare,ATM,Purchase - Retail,N,2023-05-04
TXN000114,ACC00019,CUST0198,2023-11-26,Refund,Credit,841.76,Groceries,ATM,Refund - Fuel,N,2023-11-28
TXN000115,ACC00342,CUST0133,2024-12-07,PayID,Credit,6876.1,Restaurants,EFTPOS,PayID - Utilities,N,2024-12-07
TXN000116,ACC00073,CUST0086,2024-09-28,ATM Withdrawal,Debit,9807.82,Groceries,Internet Banking,ATM Withdrawal - Restaurants,Y,2024-09-30
TXN000117,ACC00026,CUST0070,2023-09-22,Purchase,Debit,12311.27,Retail,EFTPOS,Purchase - Restaurants,N,2023-09-22
TXN000118,ACC00055,CUST0196,2022-08-22,Refund,Credit,7457.66,Utilities,Mobile App,Refund - Utilities,N,2022-08-24
TXN000119,ACC00348,CUST0040,2024-04-03,PayID,Credit,4864.2,Restaurants,Branch,PayID - Utilities,N,2024-04-05
TXN000120,ACC00089,CUST0173,2023-11-19,Direct Debit,Debit,949.27,Restaurants,ATM,Direct Debit - Restaurants,N,2023-11-21
TXN000121,ACC00085,CUST0144,2024-06-17,BPAY,Debit,3655.43,Groceries,Internet Banking,BPAY - Fuel,N,2024-06-19
TXN000122,ACC00314,CUST0075,2024-02-10,Purchase,Debit,11665.15,Retail,Mobile App,Purchase - Groceries,Y,2024-02-10
TXN000123,ACC00334,CUST0135,2023-08-05,Refund,Credit,6243.92,Retail,Internet Banking,Refund - Utilities,N,2023-08-06
TXN000124,ACC00268,CUST0022,2024-07-11,Transfer,Credit,6181.06,Groceries,EFTPOS,Transfer - Restaurants,N,2024-07-13
TXN000125,ACC00046,CUST0119,2023-09-09,Purchase,Debit,5218.46,Utilities,Internet Banking,Purchase - Fuel,N,2023-09-09
TXN000126,ACC00317,CUST0159,2024-01-12,BPAY,Debit,12941.1,Utilities,ATM,BPAY - Utilities,N,2024-01-12
TXN000127,ACC00058,CUST0050,2022-11-02,ATM Withdrawal,Debit,10278.97,Retail,Internet Banking,ATM Withdrawal - Restaurants,N,2022-11-02
TXN000128,ACC00028,CUST0048,2024-01-16,ATM Withdrawal,Debit,4276.68,Healthcare,Branch,ATM Withdrawal - Retail,N,2024-01-18
TXN000129,ACC00027,CUST0076,2022-12-27,Purchase,Debit,2371.53,Retail,EFTPOS,Purchase - Fuel,N,2022-12-27
TXN000130,ACC00228,CUST0195,2023-10-30,PayID,Credit,6286.58,Entertainment,Internet Banking,PayID - Fuel,N,2023-10-30
TXN000131,ACC00122,CUST0110,2024-04-24,ATM Withdrawal,Debit,13048.42,Utilities,Mobile App,ATM Withdrawal - Retail,N,2024-04-24
TXN000132,ACC00224,CUST0178,2022-10-24,BPAY,Debit,3243.26,Retail,Internet Banking,BPAY - Travel,N,2022-10-25
TXN000133,ACC00100,CUST0064,2024-01-05,Transfer,Credit,14633.36,Entertainment,Internet Banking,Transfer - Groceries,N,2024-01-05
TXN000134,ACC00144,CUST0123,2022-10-07,ATM Withdrawal,Debit,1667.53,Retail,ATM,ATM Withdrawal - Restaurants,N,2022-10-07
TXN000135,ACC00152,CUST0045,2022-11-18,PayID,Credit,11843.41,Restaurants,EFTPOS,PayID - Utilities,N,2022-11-20
TXN000136,ACC00251,CUST0166,2023-03-20,Refund,Credit,8874.12,Retail,Branch,Refund - Groceries,N,2023-03-22
TXN000137,ACC00127,CUST0084,2023-05-23,BPAY,Debit,4910.11,Utilities,EFTPOS,BPAY - Restaurants,N,2023-05-23
TXN000138,ACC00214,CUST0130,2022-04-01,ATM Withdrawal,Debit,601.84,Groceries,ATM,ATM Withdrawal - Travel,N,2022-04-03
TXN000139,ACC00051,CUST0081,2024-07-15,Purchase,Debit,7429.78,Groceries,ATM,Purchase - Utilities,N,2024-07-16
TXN000140,ACC00123,CUST0128,2022-07-05,PayID,Credit,239.94,Healthcare,Internet Banking,PayID - Retail,N,2022-07-07
TXN000141,ACC00299,CUST0098,2022-02-19,ATM Withdrawal,Debit,14646.34,Restaurants,ATM,ATM Withdrawal - Restaurants,N,2022-02-20
TXN000142,ACC00321,CUST0032,2024-08-08,Purchase,Debit,10558.83,Fuel,ATM,Purchase - Entertainment,N,2024-08-09
TXN000143,ACC00219,CUST0184,2023-07-07,BPAY,Debit,10471.13,Utilities,Mobile App,BPAY - Entertainment,N,2023-07-07
TXN000144,ACC00264,CUST0059,2024-01-16,Purchase,Debit,13319.78,Travel,Branch,Purchase - Retail,N,2024-01-17
TXN000145,ACC00188,CUST0186,2022-12-25,PayID,Credit,9722.94,Fuel,EFTPOS,PayID - Utilities,N,2022-12-26
TXN000146,ACC00123,CUST0128,2022-08-21,PayID,Credit,9735.93,Utilities,Internet Banking,PayID - Entertainment,N,2022-08-22
TXN000147,ACC00258,CUST0102,2024-05-16,Purchase,Debit,4157.9,Entertainment,Branch,Purchase - Retail,N,2024-05-18
TXN000148,ACC00063,CUST0020,2024-08-20,PayID,Credit,10647.67,Healthcare,ATM,PayID - Entertainment,N,2024-08-22
TXN000149,ACC00034,CUST0015,2023-01-21,ATM Withdrawal,Debit,13378.66,Fuel,Mobile App,ATM Withdrawal - Travel,N,2023-01-22
TXN000150,ACC00040,CUST0071,2022-08-12,Purchase,Debit,2472.33,Restaurants,ATM,Purchase - Restaurants,N,2022-08-14
TXN000151,ACC00322,CUST0122,2022-02-16,PayID,Credit,4398.25,Restaurants,ATM,PayID - Entertainment,N,2022-02-18
TXN000152,ACC00331,CUST0083,2022-02-13,Purchase,Debit,4373.46,Groceries,Internet Banking,Purchase - Entertainment,N,2022-02-14
TXN000153,ACC00336,CUST0158,2023-10-31,PayID,Credit,7292.74,Retail,ATM,PayID - Healthcare,N,2023-11-01
TXN000154,ACC00088,CUST0136,2023-06-17,Direct Debit,Debit,3402.5,Healthcare,Mobile App,Direct Debit - Restaurants,N,2023-06-18
TXN000155,ACC00086,CUST0008,2022-11-26,Direct Debit,Debit,10677.47,Restaurants,Internet Banking,Direct Debit - Restaurants,N,2022-11-26
TXN000156,ACC00022,CUST0002,2023-10-11,ATM Withdrawal,Debit,8618.3,Healthcare,Branch,ATM Withdrawal - Restaurants,N,2023-10-13
TXN000157,ACC00018,CUST0082,2023-10-12,Transfer,Credit,14670.36,Entertainment,ATM,Transfer - Restaurants,N,2023-10-12
TXN000158,ACC00013,CUST0044,2024-04-08,Refund,Credit,13966.1,Restaurants,ATM,Refund - Entertainment,N,2024-04-10
TXN000159,ACC00280,CUST0057,2024-11-05,PayID,Credit,4969.88,Healthcare,ATM,PayID - Healthcare,N,2024-11-07
TXN000160,ACC00342,CUST0133,2022-10-29,PayID,Credit,11993.84,Retail,Branch,PayID - Fuel,N,2022-10-29
TXN000161,ACC00072,CUST0118,2022-08-28,ATM Withdrawal,Debit,4621.92,Utilities,ATM,ATM Withdrawal - Entertainment,N,2022-08-28
TXN000162,ACC00312,CUST0089,2023-02-04,Transfer,Credit,8751.89,Healthcare,Internet Banking,Transfer - Groceries,N,2023-02-05
TXN000163,ACC00347,CUST0163,2022-06-28,ATM Withdrawal,Debit,14637.62,Utilities,ATM,ATM Withdrawal - Entertainment,N,2022-06-30
TXN000164,ACC00029,CUST0150,2024-01-10,PayID,Credit,5963.97,Travel,Branch,PayID - Travel,N,2024-01-11
TXN000165,ACC00177,CUST0093,2023-12-21,ATM Withdrawal,Debit,4621.97,Fuel,Internet Banking,ATM Withdrawal - Retail,N,2023-12-22
TXN000166,ACC00227,CUST0173,2023-08-15,PayID,Credit,2457.69,Travel,ATM,PayID - Restaurants,N,2023-08-17
TXN000167,ACC00045,CUST0105,2022-10-22,ATM Withdrawal,Debit,3117.55,Entertainment,Mobile App,ATM Withdrawal - Travel,N,2022-10-23
TXN000168,ACC00328,CUST0011,2023-07-14,BPAY,Debit,6218.3,Retail,EFTPOS,BPAY - Restaurants,N,2023-07-15
TXN000169,ACC00149,CUST0006,2024-10-01,Refund,Credit,634.45,Healthcare,EFTPOS,Refund - Healthcare,N,2024-10-03
TXN000170,ACC00238,CUST0090,2023-04-05,Purchase,Debit,403.57,Restaurants,Branch,Purchase - Healthcare,N,2023-04-07
TXN000171,ACC00242,CUST0198,2022-09-12,Direct Debit,Debit,9807.54,Travel,Internet Banking,Direct Debit - Retail,N,2022-09-14
TXN000172,ACC00126,CUST0046,2022-02-28,Direct Debit,Debit,1791.2,Retail,Mobile App,Direct Debit - Entertainment,N,2022-03-02
TXN000173,ACC00224,CUST0178,2023-06-13,ATM Withdrawal,Debit,9420.31,Fuel,Branch,ATM Withdrawal - Groceries,N,2023-06-13
TXN000174,ACC00298,CUST0147,2022-04-30,ATM Withdrawal,Debit,2192.91,Restaurants,Branch,ATM Withdrawal - Restaurants,N,2022-05-01
TXN000175,ACC00215,CUST0130,2023-12-31,Direct Debit,Debit,731.67,Fuel,EFTPOS,Direct Debit - Utilities,N,2023-12-31
TXN000176,ACC00049,CUST0063,2022-12-09,Refund,Credit,8156.14,Entertainment,Branch,Refund - Healthcare,N,2022-12-11
TXN000177,ACC00186,CUST0189,2022-07-16,Direct Debit,Debit,8016.77,Restaurants,Mobile App,Direct Debit - Restaurants,N,2022-07-17
TXN000178,ACC00249,CUST0002,2024-04-23,Transfer,Credit,5105.36,Fuel,Internet Banking,Transfer - Restaurants,N,2024-04-23
TXN000179,ACC00287,CUST0097,2024-12-12,PayID,Credit,12691.2,Fuel,ATM,PayID - Retail,N,2024-12-12
TXN000180,ACC00068,CUST0034,2022-02-05,Direct Debit,Debit,7193.29,Entertainment,Internet Banking,Direct Debit - Retail,N,2022-02-07
TXN000181,ACC00268,CUST0022,2023-12-02,Direct Debit,Debit,2583.94,Groceries,Mobile App,Direct Debit - Utilities,N,2023-12-04
TXN000182,ACC00073,CUST0086,2023-04-10,Transfer,Credit,4612.12,Restaurants,Mobile App,Transfer - Travel,N,2023-04-10
TXN000183,ACC00040,CUST0071,2022-02-08,Refund,Credit,11620.61,Travel,Mobile App,Refund - Utilities,N,2022-02-10
TXN000184,ACC00263,CUST0133,2022-05-02,Direct Debit,Debit,7036.77,Groceries,Mobile App,Direct Debit - Healthcare,N,2022-05-02
TXN000185,ACC00064,CUST0177,2023-02-25,Transfer,Credit,8814.46,Restaurants,Branch,Transfer - Groceries,N,2023-02-27
TXN000186,ACC00143,CUST0108,2023-12-14,Refund,Credit,5283.7,Utilities,EFTPOS,Refund - Fuel,N,2023-12-16
TXN000187,ACC00008,CUST0096,2024-12-19,Transfer,Credit,3255.75,Healthcare,Internet Banking,Transfer - Groceries,N,2024-12-19
TXN000188,ACC00110,CUST0113,2024-10-29,ATM Withdrawal,Debit,12769.6,Entertainment,EFTPOS,ATM Withdrawal - Restaurants,N,2024-10-29
TXN000189,ACC00093,CUST0126,2023-12-28,ATM Withdrawal,Debit,14719.54,Utilities,EFTPOS,ATM Withdrawal - Utilities,N,2023-12-29
TXN000190,ACC00064,CUST0177,2024-08-12,Transfer,Credit,1655.63,Retail,Branch,Transfer - Healthcare,N,2024-08-12
TXN000191,ACC00043,CUST0148,2023-11-03,ATM Withdrawal,Debit,7406.2,Healthcare,ATM,ATM Withdrawal - Healthcare,N,2023-11-04
TXN000192,ACC00116,CUST0068,2024-04-14,Refund,Credit,4359.55,Travel,Internet Banking,Refund - Fuel,N,2024-04-15
TXN000193,ACC00348,CUST0040,2024-01-23,PayID,Credit,2690.28,Retail,Mobile App,PayID - Travel,N,2024-01-25
TXN000194,ACC00347,CUST0163,2022-06-24,ATM Withdrawal,Debit,1789.15,Travel,EFTPOS,ATM Withdrawal - Fuel,N,2022-06-24
TXN000195,ACC00034,CUST0015,2024-01-15,Direct Debit,Debit,14628.14,Utilities,EFTPOS,Direct Debit - Travel,N,2024-01-16
TXN000196,ACC00256,CUST0005,2023-07-25,Refund,Credit,11472.49,Healthcare,ATM,Refund - Entertainment,N,2023-07-27
